Harold Voigt, 1939-
Jessica Webster, 1981-
Max Wolpe, 1953-
Nhlanhla Xaba, 1960-2003
Andrew Verster, 1937-
Edoardo Villa, 1915-2011
Florian Wozniak, 1962-
Gavin Younge, 1947-
Anton van Wouw, 1862-1945
Sandile Zulu, 1962-
Walter Voigt, 1971-
Mzuzile Mduduzi Xakaza, 1965-
Ndabenhle William Zulu, 1956-
Maggie Laubser, 1886-1973
Wendy Vincent, 1941-
Gordon Vorster, 1924-1988
Vladimir Tretchikoff, 1913-2006
Anton Uys, 1947-
Michael Gagashe Zondi, 1926-2008
Gunther van der Reis, 1927-
Alexis Preller, 1911-1975
Minnette Vári, 1968-
Pieter Wenning, 1873-1921
Frank van Reenen, 1969-
Erik Laubscher, 1927-2013
Jan Vermeiren, 1949-
Anna Vorster, 1928-1990
Maurice van Essche, 1906-1977
Hannatjie van der Wat, 1923-
Louis van Heerden, 1941-
Joseph Wolpe, 1922-
Nontsikelelo Veleko, 1977-
Herman van Nazareth, 1936-
Robert Hodgins, 1920-2010
William Kentridge, 1955-
Piet van Heerden, 1917-1991
Mary Wafer, 1975-
Walter Gilbert Wiles, 1875-1966
Walter Battiss, 1906-1982
Jacob Hendrik Pierneef, 1886-1957
Pieter van der Westhuizen, 1931-2008
Jacob van Schalkwyk, 1979-
Vera Volschenk, 1899-1987
Taffy (Matthew) Whippman, 1901-1973
Irma Stern, 1894-1966
Clive van den Berg, 1956-
Caroline van der Merwe, 1932-2012
Leigh Voigt, 1943-
Gregoire Boonzaier, 1909-2005
Jaco van Schalkwyk, 1979-
Eben van der Merwe, 1932-
Andrzej Urbanski,Polish/ 1983-
Marjorie Wallace, 1925-2005
Gail Kathleen van Lingen, 1946-
Sue Williamson, 1941-
Jean Welz, 1900-1975
Marié Vermeulen-Breedt, 1954-
Ernest Ullmann, 1900-1975
Asha Zero, 1975-
Florence Zerffi, 1882-1962
Jan Ernst Abraham Volschenk, 1853-1936
Cecil Skotnes, 1926-2009
Walter Edward Westbrook, 1921-2015
Edward Wolfe, 1897-1982
Louis Jansen van Vuuren, 1949-
Heinrich von Michaelis, 1912-1990
Diane Victor, 1964-
